                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1892,                0.90003,                 1.1976,                0.92069,                0.90607,                0.90717,                0.60955,                 1.2974,                0.66361,                 1.2615,             0.00036307,             0.00036307,             0.00036307
                     36,                 1.1689,                0.85583,                 1.1757,                0.92066,                 0.9041,                0.92678,                0.61459,                 1.2812,                0.63885,                 1.2608,             0.00034108,             0.00034108,             0.00034108
                     37,                 1.1465,                0.85559,                  1.189,                0.90895,                0.88281,                0.92632,                0.60725,                 1.3033,                0.64646,                 1.2673,             0.00031908,             0.00031908,             0.00031908
                     38,                 1.1365,                0.83173,                   1.17,                0.90936,                0.90953,                0.93017,                0.61322,                 1.2798,                0.62097,                 1.2549,             0.00029708,             0.00029708,             0.00029708
                     39,                 1.1101,                0.82739,                 1.1721,                0.96154,                0.89286,                0.93123,                0.60182,                 1.2743,                0.63319,                 1.2553,             0.00027508,             0.00027508,             0.00027508
                     40,                 1.1054,                0.83445,                 1.1671,                0.89283,                0.90749,                 0.9267,                0.60959,                 1.2691,                0.62615,                 1.2529,             0.00025309,             0.00025309,             0.00025309
                     41,                 1.0717,                0.74819,                 1.1743,                0.91461,                0.92215,                 0.9073,                0.60871,                 1.2936,                0.63128,                 1.2591,             0.00023109,             0.00023109,             0.00023109
                     42,                  1.069,                0.71995,                  1.161,                0.88212,                0.92928,                0.90657,                0.59914,                 1.2535,                0.61824,                  1.245,             0.00020909,             0.00020909,             0.00020909
                     43,                 1.0267,                 0.7154,                  1.129,                0.88784,                0.91934,                 0.9082,                0.59773,                 1.2997,                0.63532,                 1.2564,             0.00018709,             0.00018709,             0.00018709
                     44,                  1.026,                0.70723,                 1.1382,                0.90862,                0.91138,                0.91331,                0.61031,                 1.2844,                0.63341,                 1.2628,             0.00016509,             0.00016509,             0.00016509
                     45,                   1.02,                0.68024,                 1.1364,                0.91283,                0.90897,                 0.9274,                0.62714,                 1.2627,                0.62822,                 1.2438,              0.0001431,              0.0001431,              0.0001431
                     46,                 1.0028,                0.67267,                 1.1138,                0.91464,                0.91173,                0.91595,                0.62337,                 1.2685,                0.63872,                  1.243,              0.0001211,              0.0001211,              0.0001211
                     47,                 1.0132,                0.66789,                 1.1161,                0.91143,                0.91738,                0.91495,                0.61282,                 1.2339,                0.61639,                  1.236,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     48,                0.99157,                0.65649,                  1.095,                0.90721,                 0.9184,                0.92489,                0.61963,                 1.2413,                0.62189,                 1.2354,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     49,                0.97696,                0.65315,                  1.108,                0.91239,                0.91827,                0.92488,                0.62318,                 1.2455,                0.61641,                  1.245,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     50,                0.96569,                0.64465,                 1.0992,                0.91365,                0.92127,                0.90499,                0.60552,                 1.2552,                 0.6127,                 1.2525,             3.3108e-05,             3.3108e-05,             3.3108e-05
